OBJECTID,GU_NAM,F_SHIM,F_DISA_NM,F_AVR_HGT,F_AREA,ADM_CD,F_SAT_YMD,F_END_YMD,F_SAT_TM,F_END_TM,F_RSN_DTL,F_ZONE_NM,INV_YR,F_YR,TYPE,OBJECTID_1,OBJECTID_2,BASE_YEAR,ADM_CD_2,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
"1823",영등포구,0.30,2022년 8.8 ~17. 호우,17.66,129.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 81-18,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1824",영등포구,0.30,2022년 8.8 ~17. 호우,17.75,139.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 107-1,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1825",영등포구,0.30,2022년 8.8 ~17. 호우,18.25,93.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 108-2,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"4389",영등포구,0.30,2022년 8.8 ~17. 호우,17.50,29.35,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구도림동 107-5,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"4390",영등포구,0.30,2022년 8.8 ~17. 호우,17.50,101.79,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구도림동 82-17,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1826",영등포구,0.30,2022년 8.8 ~17. 호우,18.15,155.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 106-1,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1827",영등포구,0.30,2022년 8.8 ~17. 호우,19.07,218.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 108-1,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1828",영등포구,0.30,2022년 8.8 ~17. 호우,24.34,62.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 127-9,"2022","2022",상가,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1829",영등포구,0.30,2022년 8.8 ~17. 호우,27.62,119.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 130-43,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
"1830",영등포구,0.30,2022년 8.8 ~17. 호우,17.00,96.00,"1156011800","20220808","20220810","20","24",내수침수,서울특별시 영등포구 도림동 81-10,"2022","2022",주택,"302",302.00000000000,"2016","1119075",도림동,585455.54202699999,"11560",영등포구,"21974"
