UFID,NAME,DIVI,QUAL,UDDI,LENG,HEIG,SCLS,FMTA,OBJECTID_1,OBJECTID,BASE_YEAR,ADM_CD,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
100037612008C00517b1549469e054aa2,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"336",336.00000000000,"2016","1121080",청룡동,1194718.05765999993,"11620",관악구,"30997"
100037612008C005131a38329f88d431e,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"326",326.00000000000,"2016","1121064",서원동,647062.09153700003,"11620",관악구,"24147"
100037612008C005131a38329f88d431e,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"328",328.00000000000,"2016","1121066",서림동,940546.69252899999,"11620",관악구,"24721"
100037612008C0051ceb27f0267584a4a,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"326",326.00000000000,"2016","1121064",서원동,647062.09153700003,"11620",관악구,"24147"
100037612008C0051f511908d1aa44de3,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"326",326.00000000000,"2016","1121064",서원동,647062.09153700003,"11620",관악구,"24147"
100037612008C005110afe85a7af1414a,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"326",326.00000000000,"2016","1121064",서원동,647062.09153700003,"11620",관악구,"24147"
100037612008C00511229a155e48c4a1a,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"328",328.00000000000,"2016","1121066",서림동,940546.69252899999,"11620",관악구,"24721"
100037612008C005164fcc5dc1b3e4f6f,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"326",326.00000000000,"2016","1121064",서원동,647062.09153700003,"11620",관악구,"24147"
100037612008C0051bc1b786ef1ba460d,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"326",326.00000000000,"2016","1121064",서원동,647062.09153700003,"11620",관악구,"24147"
100037612008C00510744ae6e5ba84929,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"326",326.00000000000,"2016","1121064",서원동,647062.09153700003,"11620",관악구,"24147"
100037612008C0051dd5d64c33b6444c9,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"326",326.00000000000,"2016","1121064",서원동,647062.09153700003,"11620",관악구,"24147"
100037612008C005138eee4feccd54939,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"326",326.00000000000,"2016","1121064",서원동,647062.09153700003,"11620",관악구,"24147"
100037612008C005137046eeada09440f,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"327",327.00000000000,"2016","1121065",신원동,544575.03955999995,"11620",관악구,"20077"
100037612008C00516024d19c62e14aba,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"326",326.00000000000,"2016","1121064",서원동,647062.09153700003,"11620",관악구,"24147"
100037612008C00516024d19c62e14aba,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"327",327.00000000000,"2016","1121065",신원동,544575.03955999995,"11620",관악구,"20077"
100037612008C00516024d19c62e14aba,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"328",328.00000000000,"2016","1121066",서림동,940546.69252899999,"11620",관악구,"24721"
100037612008C0051aae85bf201724a03,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"326",326.00000000000,"2016","1121064",서원동,647062.09153700003,"11620",관악구,"24147"
100037612009C00511458cf8be4744813,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"336",336.00000000000,"2016","1121080",청룡동,1194718.05765999993,"11620",관악구,"30997"
100037612010C0051480beaf5ba94464c,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"310",310.00000000000,"2016","1120065",사당3동,907007.11422800005,"11590",동작구,"26557"
100037612016C005174597cab765d4e94,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
100037612016C0051877c052eff2a4a3a,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
100037612016C0051468a49fcef3347a7,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
100037612016C0051f5a5f58455cb42d7,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
100037612016C00510e84a636bcb549c5,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
100037612016C005186fb18ae0c62486d,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
100037612016C0051c044dcd9ffcb45dc,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
100037612018C005175679d96862e4fbc,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612016C00510d72bf1705484f36,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
100037612016C0051e7d9d9e0d85945d2,,BKD001,BKQ000,BKU001,0.000000000000000,0.000000000000000,C0052211,S2114725,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
