,AREA,PERIMETER,ELEVATION
735,202285.31,547549.91,18.56
736,202285.31,547459.91,18.2
737,202285.31,547369.91,18.2
738,202285.31,547279.91,16.6
739,202285.31,547189.91,14.99
740,202285.31,547099.91,15.01
741,202285.31,547009.91,15.87
742,202285.31,546919.91,16.79
743,202285.31,546829.91,19.07
744,202285.31,546739.91,22.93
745,202285.31,546649.91,28.52
746,202285.31,546559.91,34.51
747,202285.31,546469.91,41.06
748,202285.31,546379.91,46.44
749,202285.31,546289.91,58.88
750,202285.31,546199.91,56.59
751,202285.31,546109.91,43.33
752,202285.31,546019.91,34.02
753,202285.31,545929.91,29.33
754,202285.31,545839.91,25.1
755,202285.31,545749.91,21.35
756,202285.31,545659.91,19.14
757,202285.31,545569.91,17.84
758,202285.31,545479.91,16.65
759,202285.31,545389.91,15.97
760,202285.31,545299.91,17.44
761,202285.31,545209.91,21.71
762,202285.31,545119.91,26.91
763,202285.31,545029.91,29.88
764,202285.31,544939.91,25.28
765,202285.31,544849.91,21.09
766,202285.31,544759.91,21.49
767,202285.31,544669.91,21.18
768,202285.31,544579.91,18.94
769,202285.31,544489.91,17.14
770,202285.31,544399.91,16.27
771,202285.31,544309.91,15.27
772,202285.31,544219.91,14.29
773,202285.31,544129.91,14.25
774,202285.31,544039.91,14.85
775,202285.31,543949.91,15.19
776,202285.31,543859.91,15.62
777,202285.31,543769.91,16.23
778,202375.31,548899.91,4.65
779,202375.31,548809.91,4.71
780,202375.31,548719.91,4.78
781,202375.31,548629.91,4.83
782,202375.31,548539.91,4.89
783,202375.31,548449.91,4.93
784,202375.31,548359.91,13.91
785,202375.31,548269.91,19.48
786,202375.31,548179.91,19.12
787,202375.31,548089.91,19.04
788,202375.31,547999.91,20.13
789,202375.31,547909.91,22.88
790,202375.31,547819.91,24.44
791,202375.31,547729.91,24.35
792,202375.31,547639.91,23.07
793,202375.31,547549.91,21.56
794,202375.31,547459.91,20.86
795,202375.31,547369.91,20.28
796,202375.31,547279.91,18.19
797,202375.31,547189.91,16.16
798,202375.31,547099.91,16.1
799,202375.31,547009.91,17.17
800,202375.31,546919.91,18.78
801,202375.31,546829.91,21.65
