UFID,SCLS,FMTA,OBJECTID_1,OBJECTID,BASE_YEAR,ADM_CD,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
100037709004E0031b95a375eb8284592,E0032111,S2116502,"371",371.00000000000,"2016","1123072",일원본동,2355605.06462999992,"11680",강남구,"24486"
100037709004E00312810bab92a844de7,E0032111,S2116502,"371",371.00000000000,"2016","1123072",일원본동,2355605.06462999992,"11680",강남구,"24486"
100037709013E003137d1ccef8fd54792,E0032111,S2116502,"357",357.00000000000,"2016","1122068",내곡동,12699155.05639999919,"11650",서초구,"18549"
100037709013E003199a548333028459b,E0032111,S2116502,"357",357.00000000000,"2016","1122068",내곡동,12699155.05639999919,"11650",서초구,"18549"
100037709013E003180150d14099f4fec,E0032111,S2116502,"357",357.00000000000,"2016","1122068",내곡동,12699155.05639999919,"11650",서초구,"18549"
100037709013E00311e912b6018a84b87,E0032111,S2116502,"357",357.00000000000,"2016","1122068",내곡동,12699155.05639999919,"11650",서초구,"18549"
100037709013E0031bc33cb1722e747ef,E0032111,S2116502,"357",357.00000000000,"2016","1122068",내곡동,12699155.05639999919,"11650",서초구,"18549"
100037709014E00312c667fc5385241c2,E0032111,S2116502,"357",357.00000000000,"2016","1122068",내곡동,12699155.05639999919,"11650",서초구,"18549"
100037709014E003131f5787942d047f6,E0032111,S2116502,"357",357.00000000000,"2016","1122068",내곡동,12699155.05639999919,"11650",서초구,"18549"
100037709014E00310e9214108a764b1d,E0032111,S2116502,"357",357.00000000000,"2016","1122068",내곡동,12699155.05639999919,"11650",서초구,"18549"
100037709014E0031f2eeb4b4192c4f5d,E0032111,S2116502,"357",357.00000000000,"2016","1122068",내곡동,12699155.05639999919,"11650",서초구,"18549"
100037709023E0031f6ab2eadcef541c0,E0032111,S2116502,"356",356.00000000000,"2016","1122067",양재2동,7556517.27448000014,"11650",서초구,"23382"
100037709024E0031c3ac455d2b6442b1,E0032111,S2119731,"357",357.00000000000,"2016","1122068",내곡동,12699155.05639999919,"11650",서초구,"18549"
100037709003E00310a6cf5d9141444d2,E0032111,S2119731,"369",369.00000000000,"2016","1123068",개포1동,1448844.66333999997,"11680",강남구,"7076"
100037709014E0031c950eb118c8e47b7,E0032111,S2118259,"357",357.00000000000,"2016","1122068",내곡동,12699155.05639999919,"11650",서초구,"18549"
