UFID,DIVI,QUAL,SCLS,FMTA,OBJECTID_1,OBJECTID,BASE_YEAR,ADM_CD,ADM_NM,Shape_Area,GU_CODE,GU_NAME,POP
100037612027C006106c95014d77f4f14,SUD003,SUQ000,C0062243,S2113745,"283",283.00000000000,"2016","1118059",시흥3동,1260660.49756999989,"11545",금천구,"11648"
100037612027C0061c62dfdc8d01d414c,SUD003,SUQ000,C0062243,S2113745,"285",285.00000000000,"2016","1118061",시흥5동,1385757.57915999996,"11545",금천구,"21186"
100037612010C0061d58f888f0ca44835,SUD003,SUQ000,C0062243,S2113745,"354",354.00000000000,"2016","1122065",방배4동,948814.73576399998,"11650",서초구,"24294"
100037612027C006119320495576f4f6c,SUD003,SUQ000,C0062243,S2116974,"285",285.00000000000,"2016","1118061",시흥5동,1385757.57915999996,"11545",금천구,"21186"
100037612027C0061b9c79a2eb8b24dbf,SUD003,SUQ000,C0062243,S2116974,"285",285.00000000000,"2016","1118061",시흥5동,1385757.57915999996,"11545",금천구,"21186"
100037612010C0061f26ba663b5554422,SUD003,SUQ000,C0062243,S2116974,"352",352.00000000000,"2016","1122063",방배2동,1902603.53104000003,"11650",서초구,"21342"
100037612020C00610913d19eacf04f51,SUD003,SUQ000,C0062243,S2115501,"352",352.00000000000,"2016","1122063",방배2동,1902603.53104000003,"11650",서초구,"21342"
100037612020C0061d188c91347444f17,SUD003,SUQ000,C0062243,S2118730,"352",352.00000000000,"2016","1122063",방배2동,1902603.53104000003,"11650",서초구,"21342"
100037612020C00613e48c07da4d54fbc,SUD003,SUQ000,C0062243,S2118730,"352",352.00000000000,"2016","1122063",방배2동,1902603.53104000003,"11650",서초구,"21342"
100037612020C0061a0fc5131a85043eb,SUD003,SUQ000,C0062243,S2118730,"353",353.00000000000,"2016","1122064",방배3동,2373349.17644000007,"11650",서초구,"22578"
100037612020C0061f5dbd75e333448d6,SUD003,SUQ000,C0062243,S2112960,"353",353.00000000000,"2016","1122064",방배3동,2373349.17644000007,"11650",서초구,"22578"
100037612020C0061eb87746e373741aa,SUD003,SUQ000,C0062243,S2112960,"353",353.00000000000,"2016","1122064",방배3동,2373349.17644000007,"11650",서초구,"22578"
100037612018C0061718536ca0cf7436a,SUD003,SUQ000,C0062243,S2112960,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612019C0061f4d7168113f540f3,SUD003,SUQ000,C0062243,S2111488,"322",322.00000000000,"2016","1121058",낙성대동,2261134.36445999984,"11620",관악구,"17806"
100037612019C0061b6a7d000e72e428e,SUD003,SUQ000,C0062243,S2111488,"322",322.00000000000,"2016","1121058",낙성대동,2261134.36445999984,"11620",관악구,"17806"
100037612019C006115b8c2f5f4e24270,SUD003,SUQ000,C0062243,S2111488,"322",322.00000000000,"2016","1121058",낙성대동,2261134.36445999984,"11620",관악구,"17806"
100037612019C00610313f0a8a82048f4,SUD003,SUQ000,C0062243,S2111488,"322",322.00000000000,"2016","1121058",낙성대동,2261134.36445999984,"11620",관악구,"17806"
100037612019C006151d0e4d135db47c2,SUD003,SUQ000,C0062243,S2111488,"322",322.00000000000,"2016","1121058",낙성대동,2261134.36445999984,"11620",관악구,"17806"
100037612019C0061e1d59cb92081448d,SUD003,SUQ000,C0062243,S2111488,"322",322.00000000000,"2016","1121058",낙성대동,2261134.36445999984,"11620",관악구,"17806"
100037612019C0061a7d6b878080c4d06,SUD003,SUQ000,C0062243,S2111488,"322",322.00000000000,"2016","1121058",낙성대동,2261134.36445999984,"11620",관악구,"17806"
100037612019C006181baf5733e3f4f2e,SUD003,SUQ000,C0062243,S2111488,"324",324.00000000000,"2016","1121062",인헌동,1088265.90537999989,"11620",관악구,"27297"
100037612019C0061c502016ccb484fc7,SUD003,SUQ000,C0062243,S2111488,"325",325.00000000000,"2016","1121063",남현동,3278571.57096999977,"11620",관악구,"19107"
100037612019C0061cc06dd99801e46b3,SUD003,SUQ000,C0062243,S2111488,"324",324.00000000000,"2016","1121062",인헌동,1088265.90537999989,"11620",관악구,"27297"
100037612019C00610a0c455cd58e4435,SUD003,SUQ000,C0062243,S2111488,"324",324.00000000000,"2016","1121062",인헌동,1088265.90537999989,"11620",관악구,"27297"
100037612018C006155de487ff9854018,SUD003,SUQ000,C0062243,S2111488,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C006123c9c6d61c1c4bda,SUD003,SUQ000,C0062243,S2111488,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C00610f0c93e0abb54ab8,SUD003,SUQ000,C0062243,S2111488,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C006138681350e78646db,SUD003,SUQ000,C0062243,S2111488,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C00614d912f7df5ba4c52,SUD003,SUQ000,C0062243,S2111488,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C00613cc0cdb2765b437f,SUD003,SUQ000,C0062243,S2111488,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C0061982c7ab447f04bba,SUD003,SUQ000,C0062243,S2111488,"328",328.00000000000,"2016","1121066",서림동,940546.69252899999,"11620",관악구,"24721"
100037612018C00613c657142123b4210,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C006193fa9533a8e046f4,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00611b5b3b6a452e405b,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00616f21fb3827b44946,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00618154486348094051,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C006146e858b78c8743f3,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0061c341513d89e44bc2,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00612813ebeb87614db3,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00614e0b885b85c24838,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0061ae4e48793b4b4b31,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0061b27c50e3dd9443ec,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0061dec19429e5f5419c,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0061acaa0f5860034ddc,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C006118a9531883064246,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00610d7a8344d7214599,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0061252d2760c46f42c0,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0061f9af3b411d8241b1,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00610e12234a94cd4c7d,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C00615a246affc72a4bee,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C006107f2827970bf40b7,SUD003,SUQ000,C0062243,S2111488,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612018C006167b25157d8b34452,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0061fbfb51b16d93456c,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0061b3b194c9646c4a8d,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612018C0061a4b866638b9640ec,SUD003,SUQ000,C0062243,S2111488,"338",338.00000000000,"2016","1121082",삼성동,2602463.75145999994,"11620",관악구,"25696"
100037612017C006151e5da4729704c73,SUD003,SUQ000,C0062243,S2111488,"331",331.00000000000,"2016","1121071",난향동,820792.03567899996,"11620",관악구,"16541"
100037612017C0061f7715019321a417e,SUD003,SUQ000,C0062243,S2111488,"331",331.00000000000,"2016","1121071",난향동,820792.03567899996,"11620",관악구,"16541"
100037612017C006158fc2e54133a439f,SUD003,SUQ000,C0062243,S2111488,"331",331.00000000000,"2016","1121071",난향동,820792.03567899996,"11620",관악구,"16541"
100037612017C006149dcc3875c4d42cf,SUD003,SUQ000,C0062243,S2111488,"331",331.00000000000,"2016","1121071",난향동,820792.03567899996,"11620",관악구,"16541"
100037612008C006195811f532f394b3d,SUD003,SUQ000,C0062243,S2111488,"326",326.00000000000,"2016","1121064",서원동,647062.09153700003,"11620",관악구,"24147"
100037612008C006195811f532f394b3d,SUD003,SUQ000,C0062243,S2111488,"327",327.00000000000,"2016","1121065",신원동,544575.03955999995,"11620",관악구,"20077"
100037612008C0061b49be0a31f9c49c2,SUD003,SUQ000,C0062243,S2111488,"326",326.00000000000,"2016","1121064",서원동,647062.09153700003,"11620",관악구,"24147"
100037612008C0061b49be0a31f9c49c2,SUD003,SUQ000,C0062243,S2111488,"327",327.00000000000,"2016","1121065",신원동,544575.03955999995,"11620",관악구,"20077"
100037612018C0061c721c1ee23bf476e,SUD003,SUQ000,C0062243,S2111488,"333",333.00000000000,"2016","1121073",대학동,8398948.57289000042,"11620",관악구,"24741"
100037612016C00619b0bc32ab7e04012,SUD003,SUQ000,C0062243,S2111488,"277",277.00000000000,"2016","1118052",독산1동,2069530.86562999990,"11545",금천구,"43574"
100037612020C006101acb356d6124007,SUD003,SUQ000,C0062243,S2111488,"325",325.00000000000,"2016","1121063",남현동,3278571.57096999977,"11620",관악구,"19107"
100037612020C0061008e79bf27644a5e,SUD003,SUQ000,C0062243,S2111488,"325",325.00000000000,"2016","1121063",남현동,3278571.57096999977,"11620",관악구,"19107"
100037612020C00612ddc559435ca4a61,SUD003,SUQ000,C0062243,S2111488,"325",325.00000000000,"2016","1121063",남현동,3278571.57096999977,"11620",관악구,"19107"
100037612020C0061cfb8dfb69e2e43a9,SUD003,SUQ000,C0062243,S2111488,"325",325.00000000000,"2016","1121063",남현동,3278571.57096999977,"11620",관악구,"19107"
100037612020C00618537c596f8ed4087,SUD003,SUQ000,C0062243,S2111488,"325",325.00000000000,"2016","1121063",남현동,3278571.57096999977,"11620",관악구,"19107"
100037612020C00610e293b6710554830,SUD003,SUQ000,C0062243,S2114716,"325",325.00000000000,"2016","1121063",남현동,3278571.57096999977,"11620",관악구,"19107"
100037612020C006108d9591a42c74cb2,SUD003,SUQ000,C0062243,S2114716,"325",325.00000000000,"2016","1121063",남현동,3278571.57096999977,"11620",관악구,"19107"
100037612020C006115e2249924344936,SUD003,SUQ000,C0062243,S2114716,"325",325.00000000000,"2016","1121063",남현동,3278571.57096999977,"11620",관악구,"19107"
